url,convocatoria,tema_id,periodo,curso,pais,idioma,id_grupo,codigo_grupo,dias,horario,zona_horaria,tipo_grupo,cupo_total,cupo_disponible,tiene_cupos
https://campus.fimlm.org/inscripcion/j232691l/15/1,j232691l,15,1,Economía del Hogar,Colombia,Español,4512,EH-P-05,Sábado,8:00 - 9:30 a.m,America/Bogota,Estudiantes,50,15,Sí
https://campus.fimlm.org/inscripcion/j232691l/15/1,j232691l,15,1,Economía del Hogar,Colombia,Español,4513,EH-P-06,Sábado,14:00 - 15:30 p.m,America/Bogota,Estudiantes,50,0,No
https://campus.fimlm.org/inscripcion/j232691l/15/1,j232691l,15,1,Economía del Hogar,Colombia,Español,4817,EH-P-03,Sábado,14:00 - 15:30 p.m,America/Bogota,Estudiantes,50,30,Sí
https://campus.fimlm.org/inscripcion/j232691l/11/1,j232691l,11,1,Costos para Emprendedores/Contabilidad,Colombia,Español,4878,CEC-P-01,Jueves,20:00 - 21:30 p.m,America/Bogota,Estudiantes,60,51,Sí
https://campus.fimlm.org/inscripcion/j232691l/8/1,j232691l,8,1,Estrategias para la Búsqueda de Empleo,Colombia,Español,4256,EBE-P-01,Sábado,8:00 - 9:30 a.m,America/Bogota,Estudiantes,50,39,Sí
https://campus.fimlm.org/inscripcion/j232691l/8/1,j232691l,8,1,Estrategias para la Búsqueda de Empleo,Colombia,Español,4257,EBE-P-02,Miércoles,10:00 - 11:30 a.m,America/Bogota,Estudiantes,50,43,Sí
https://campus.fimlm.org/inscripcion/j232691l/8/1,j232691l,8,1,Estrategias para la Búsqueda de Empleo,Colombia,Español,5081,EBE-P-03,Viernes,14:00 - 15:30 p.m,America/Bogota,Estudiantes,50,43,Sí
https://campus.fimlm.org/inscripcion/j232691l/12/1,j232691l,12,1,Despertar Emprendedor,Colombia,Español,4276,DE-P-01,Jueves,20:00 - 21:30 p.m,America/Bogota,Estudiantes,50,0,No
https://campus.fimlm.org/inscripcion/j232691l/12/1,j232691l,12,1,Despertar Emprendedor,Colombia,Español,4277,DE-P-02,Martes,20:00 - 21:30 p.m,America/Bogota,Estudiantes,50,0,No
https://campus.fimlm.org/inscripcion/j232691l/12/1,j232691l,12,1,Despertar Emprendedor,Colombia,Español,5034,DE-P-03,Sábado,14:00 - 15:30 p.m,America/Bogota,Estudiantes,50,0,No
https://campus.fimlm.org/inscripcion/j232691l/9/1,j232691l,9,1,Familias Empresarias del Campo,Colombia,Español,4814,FEC-P-01,Sábado,8:00 - 9:30 a.m,America/Bogota,Estudiantes,60,30,Sí
https://campus.fimlm.org/inscripcion/j232691l/75/1,j232691l,75,1,Orientación Emprendedora,Colombia,Español,4449,OE-P-01,Viernes,10:00 - 11:30 a.m,America/Bogota,Estudiantes,50,0,No
https://campus.fimlm.org/inscripcion/j232691l/75/1,j232691l,75,1,Orientación Emprendedora,Colombia,Español,4450,OE-P-02,Jueves,20:00 - 21:30 p.m,America/Bogota,Estudiantes,50,0,No
https://campus.fimlm.org/inscripcion/j232691l/75/1,j232691l,75,1,Orientación Emprendedora,Colombia,Español,4451,OE-P-03,Jueves,10:00 - 11:30 a.m,America/Bogota,Estudiantes,50,0,No
https://campus.fimlm.org/inscripcion/j232691l/75/1,j232691l,75,1,Orientación Emprendedora,Colombia,Español,4452,OE-P-04,Martes,20:00 - 21:30 p.m,America/Bogota,Estudiantes,50,0,No
https://campus.fimlm.org/inscripcion/j232691l/4/1,j232691l,4,1,Mi Negocio en Internet,Colombia,Español,4903,MNI-P-01,Jueves,10:00 - 11:30 a.m,America/Bogota,Estudiantes,60,50,Sí
